,Date,Name,Team,Position,Opp_x,Home/Away,Line,Moneyline,Projection,Diff,Pick,Result_x,pick_over_under,seven_day_accuracy,successful_pick,Matches,Player,Age,Pos,Tm,Home/Away_x,Opp_y,Game Result,GS,MP_x,FG_x,FGA_x,FG%_x,2P_x,2PA_x,2P%_x,3P_x,3PA_x,3P%_x,FT_x,FTA_x,FT%_x,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_x,GmSc,BPM,Home/Away_y,Result_y,MP_y,FG_y,FGA_y,FG%_y,2P_y,2PA_y,2P%_y,3P_y,3PA_y,3P%_y,FT_y,FTA_y,FT%_y,PTS_y,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
20,2021-10-25,Aaron Gordon,DEN,F,CLE,vs.,10.5,-127,13.59,3.09,10.5,12,o,0.45,1,Aaron Gordon,Aaron Gordon,26-039,F,DEN,Home,CLE,L,1.0,28.0,5.0,14.0,0.357,4.0,9.0,0.444,1.0,5.0,0.2,1.0,2.0,0.5,0.403,3.0,6.0,9.0,1.0,0.0,0.0,3.0,2.0,12.0,4.6,-6.5,Home,L 87-99,240.0,35.0,86.0,0.407,26.0,48.0,0.542,9.0,38.0,0.237,8.0,12.0,0.667,87.0,38.0,82.0,0.463,31.0,57.0,0.544,7.0,25.0,0.28,16.0,20.0,0.8,99.0
21,2021-10-26,Aaron Gordon,DEN,F,UTH,@,10.5,-127,12.47,1.98,10.5,20,o,0.43,1,Aaron Gordon,Aaron Gordon,26-040,F,DEN,Away,UTA,L,1.0,34.0,9.0,13.0,0.692,9.0,10.0,0.9,0.0,3.0,0.0,2.0,4.0,0.5,0.678,1.0,6.0,7.0,1.0,1.0,1.0,4.0,5.0,20.0,12.6,-3.2,Away,L 110-122,240.0,42.0,83.0,0.506,32.0,55.0,0.582,10.0,28.0,0.357,16.0,24.0,0.667,110.0,44.0,85.0,0.518,32.0,46.0,0.696,12.0,39.0,0.308,22.0,29.0,0.759,122.0
22,2021-10-29,Aaron Gordon,DEN,F,DAL,vs.,11.5,-115,14.18,2.67,11.5,13,o,0.45,1,Aaron Gordon,Aaron Gordon,26-043,F,DEN,Home,DAL,W,1.0,24.0,6.0,9.0,0.667,5.0,7.0,0.714,1.0,2.0,0.5,0.0,1.0,0.0,0.689,1.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,13.0,11.3,8.3,Home,W 106-75,240.0,43.0,83.0,0.518,32.0,47.0,0.681,11.0,36.0,0.306,9.0,13.0,0.692,106.0,23.0,78.0,0.295,15.0,41.0,0.366,8.0,37.0,0.216,21.0,27.0,0.778,75.0
23,2021-11-06,Aaron Gordon,DEN,F,HOU,vs.,11.5,-122,13.5,2.0,11.5,9,o,0.48,0,Aaron Gordon,Aaron Gordon,26-051,F,DEN,Home,HOU,W,1.0,28.0,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.0,0.0,,0.643,1.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,9.0,8.0,3.3,Home,W 95-94,240.0,36.0,89.0,0.404,27.0,49.0,0.551,9.0,40.0,0.225,14.0,17.0,0.824,95.0,35.0,75.0,0.467,27.0,47.0,0.574,8.0,28.0,0.286,16.0,24.0,0.667,94.0
24,2021-11-12,Aaron Gordon,DEN,F,ATL,vs.,11.5,-115,14.85,3.35,12.0,23,o,0.46,1,Aaron Gordon,Aaron Gordon,26-057,F,DEN,Home,ATL,W,1.0,34.0,7.0,11.0,0.636,4.0,6.0,0.667,3.0,5.0,0.6,6.0,6.0,1.0,0.843,1.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,23.0,24.8,18.6,Home,W 105-96,240.0,40.0,90.0,0.444,30.0,55.0,0.545,10.0,35.0,0.286,15.0,20.0,0.75,105.0,38.0,93.0,0.409,33.0,65.0,0.508,5.0,28.0,0.179,15.0,21.0,0.714,96.0
25,2021-11-14,Aaron Gordon,DEN,F,POR,vs.,11.5,-125,14.09,2.59,11.5,11,o,0.47,0,Aaron Gordon,Aaron Gordon,26-059,F,DEN,Home,POR,W,1.0,29.0,5.0,12.0,0.417,5.0,11.0,0.455,0.0,1.0,0.0,1.0,1.0,1.0,0.442,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,7.0,-10.4,Home,W 124-95,240.0,47.0,90.0,0.522,28.0,50.0,0.56,19.0,40.0,0.475,11.0,14.0,0.786,124.0,35.0,80.0,0.438,22.0,41.0,0.537,13.0,39.0,0.333,12.0,13.0,0.923,95.0
26,2021-11-18,Aaron Gordon,DEN,F,PHI,vs.,11.5,-130,13.95,2.45,12.5,9,o,0.55,0,Aaron Gordon,Aaron Gordon,26-063,F,DEN,Home,PHI,L,1.0,31.0,4.0,13.0,0.308,3.0,9.0,0.333,1.0,4.0,0.25,0.0,0.0,,0.346,3.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,9.0,3.9,-8.7,Home,L 89-103,240.0,32.0,89.0,0.36,20.0,53.0,0.377,12.0,36.0,0.333,13.0,16.0,0.813,89.0,43.0,85.0,0.506,32.0,56.0,0.571,11.0,29.0,0.379,6.0,12.0,0.5,103.0
27,2021-11-21,Aaron Gordon,DEN,F,PHO,@,15.5,-125,14.6,-0.9,15.5,16,u,0.55,0,Aaron Gordon,Aaron Gordon,26-066,F,DEN,Away,PHO,L,1.0,30.0,7.0,14.0,0.5,6.0,13.0,0.462,1.0,1.0,1.0,1.0,3.0,0.333,0.522,4.0,6.0,10.0,4.0,2.0,0.0,4.0,3.0,16.0,12.4,1.0,Away,L 97-126,240.0,33.0,90.0,0.367,22.0,52.0,0.423,11.0,38.0,0.289,20.0,28.0,0.714,97.0,46.0,87.0,0.529,35.0,51.0,0.686,11.0,36.0,0.306,23.0,26.0,0.885,126.0
28,2021-11-23,Aaron Gordon,DEN,F,POR,@,15.5,100,14.52,-0.98,15.5,11,u,0.49,1,Aaron Gordon,Aaron Gordon,26-068,F,DEN,Away,POR,L,1.0,32.0,5.0,9.0,0.556,5.0,8.0,0.625,0.0,1.0,0.0,1.0,1.0,1.0,0.583,1.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,11.0,8.3,-6.9,Away,L 100-119,240.0,38.0,78.0,0.487,23.0,45.0,0.511,15.0,33.0,0.455,9.0,11.0,0.818,100.0,45.0,88.0,0.511,30.0,49.0,0.612,15.0,39.0,0.385,14.0,20.0,0.7,119.0
29,2021-11-29,Aaron Gordon,DEN,F,MIA,@,12.5,100,14.33,1.83,12.5,20,o,0.49,1,Aaron Gordon,Aaron Gordon,26-074,F,DEN,Away,MIA,W,1.0,38.0,6.0,11.0,0.545,4.0,7.0,0.571,2.0,4.0,0.5,6.0,8.0,0.75,0.689,0.0,4.0,4.0,5.0,0.0,0.0,2.0,1.0,20.0,16.2,0.8,Away,W 120-111,240.0,43.0,74.0,0.581,25.0,39.0,0.641,18.0,35.0,0.514,16.0,21.0,0.762,120.0,43.0,91.0,0.473,28.0,47.0,0.596,15.0,44.0,0.341,10.0,15.0,0.667,111.0
30,2021-12-09,Aaron Gordon,DEN,F,SAS,@,13.5,-110,15.07,1.57,13.5,25,o,0.56,1,Aaron Gordon,Aaron Gordon,26-084,F,DEN,Away,SAS,L,1.0,35.0,9.0,12.0,0.75,9.0,12.0,0.75,0.0,0.0,,7.0,8.0,0.875,0.805,2.0,4.0,6.0,3.0,0.0,1.0,1.0,2.0,25.0,23.4,6.0,Away,L 111-123,240.0,42.0,94.0,0.447,27.0,55.0,0.491,15.0,39.0,0.385,12.0,13.0,0.923,111.0,46.0,88.0,0.523,31.0,53.0,0.585,15.0,35.0,0.429,16.0,22.0,0.727,123.0
31,2021-12-11,Aaron Gordon,DEN,F,SAS,@,14.5,100,15.92,1.42,14.5,16,o,0.51,1,Aaron Gordon,Aaron Gordon,26-086,F,DEN,Away,SAS,W,1.0,32.0,7.0,13.0,0.538,6.0,10.0,0.6,1.0,3.0,0.333,1.0,1.0,1.0,0.595,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,16.0,15.2,0.7,Away,W 127-112,240.0,47.0,93.0,0.505,27.0,50.0,0.54,20.0,43.0,0.465,13.0,14.0,0.929,127.0,41.0,89.0,0.461,31.0,62.0,0.5,10.0,27.0,0.37,20.0,29.0,0.69,112.0
32,2021-12-22,Aaron Gordon,DEN,F,OKC,@,14.5,-120,13.9,-0.6,14.5,12,u,0.6,1,Aaron Gordon,Aaron Gordon,26-097,F,DEN,Away,OKC,L,1.0,25.0,5.0,11.0,0.455,4.0,7.0,0.571,1.0,4.0,0.25,1.0,3.0,0.333,0.487,0.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,12.0,8.1,-0.8,Away,L 94-108,240.0,33.0,84.0,0.393,20.0,40.0,0.5,13.0,44.0,0.295,15.0,26.0,0.577,94.0,42.0,94.0,0.447,34.0,60.0,0.567,8.0,34.0,0.235,16.0,19.0,0.842,108.0
33,2022-01-01,Aaron Gordon,DEN,F,HOU,@,15.5,-120,14.3,-1.2,15.5,16,u,0.57,0,Aaron Gordon,Aaron Gordon,26-107,F,DEN,Away,HOU,W,1.0,21.0,7.0,15.0,0.467,7.0,12.0,0.583,0.0,3.0,0.0,2.0,4.0,0.5,0.477,4.0,3.0,7.0,1.0,1.0,1.0,1.0,2.0,16.0,11.8,-5.7,Away,W 124-111,240.0,46.0,86.0,0.535,36.0,54.0,0.667,10.0,32.0,0.313,22.0,27.0,0.815,124.0,37.0,85.0,0.435,21.0,43.0,0.488,16.0,42.0,0.381,21.0,24.0,0.875,111.0
34,2022-01-16,Aaron Gordon,DEN,F,UTH,vs.,12.5,-105,11.8,-0.7,12.5,20,u,0.57,0,Aaron Gordon,Aaron Gordon,26-122,F,DEN,Home,UTA,L,1.0,35.0,8.0,15.0,0.533,6.0,10.0,0.6,2.0,5.0,0.4,2.0,2.0,1.0,0.63,2.0,5.0,7.0,6.0,1.0,0.0,1.0,1.0,20.0,19.4,7.5,Home,L 102-125,240.0,42.0,95.0,0.442,31.0,52.0,0.596,11.0,43.0,0.256,7.0,8.0,0.875,102.0,44.0,84.0,0.524,29.0,45.0,0.644,15.0,39.0,0.385,22.0,29.0,0.759,125.0
35,2021-10-27,Aaron Holiday,WAS,G,BOS,@,8.5,-125,5.97,-2.53,8.5,9,u,0.45,0,Aaron Holiday,Aaron Holiday,25-027,G,WAS,Away,BOS,W,0.0,19.0,4.0,6.0,0.667,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,2.0,2.0,3.0,0.0,1.0,3.0,3.0,9.0,5.6,-0.2,Away,W 116-107,240.0,43.0,84.0,0.512,34.0,59.0,0.576,9.0,25.0,0.36,21.0,29.0,0.724,116.0,37.0,85.0,0.435,27.0,56.0,0.482,10.0,29.0,0.345,23.0,28.0,0.821,107.0
36,2021-11-13,Aaron Holiday,WAS,G,ORL,@,9.5,-105,7.3,-2.2,9.5,11,u,0.49,0,Aaron Holiday,Aaron Holiday,25-044,G,WAS,Away,ORL,W,1.0,35.0,5.0,9.0,0.556,4.0,8.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.611,0.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,11.0,9.6,-0.8,Away,W 104-92,240.0,42.0,84.0,0.5,30.0,49.0,0.612,12.0,35.0,0.343,8.0,10.0,0.8,104.0,31.0,92.0,0.337,18.0,52.0,0.346,13.0,40.0,0.325,17.0,20.0,0.85,92.0
37,2021-11-15,Aaron Holiday,WAS,G,NOR,vs.,11.5,-113,6.15,-5.35,11.0,12,u,0.47,0,Aaron Holiday,Aaron Holiday,25-046,G,WAS,Home,NOP,W,1.0,27.0,6.0,11.0,0.545,6.0,9.0,0.667,0.0,2.0,0.0,0.0,0.0,,0.545,1.0,3.0,4.0,1.0,1.0,0.0,1.0,4.0,12.0,7.4,-6.5,Home,W 105-100,240.0,39.0,84.0,0.464,29.0,56.0,0.518,10.0,28.0,0.357,17.0,25.0,0.68,105.0,30.0,74.0,0.405,19.0,53.0,0.358,11.0,21.0,0.524,29.0,34.0,0.853,100.0
38,2021-11-18,Aaron Holiday,WAS,G,MIA,@,9.5,100,7.5,-2.0,9.5,4,u,0.55,1,Aaron Holiday,Aaron Holiday,25-049,G,WAS,Away,MIA,L,1.0,29.0,2.0,7.0,0.286,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.286,0.0,0.0,0.0,5.0,1.0,0.0,4.0,3.0,4.0,-0.8,-13.3,Away,L 97-112,240.0,38.0,77.0,0.494,23.0,41.0,0.561,15.0,36.0,0.417,6.0,10.0,0.6,97.0,41.0,82.0,0.5,31.0,56.0,0.554,10.0,26.0,0.385,20.0,24.0,0.833,112.0
39,2021-11-27,Aaron Holiday,WAS,G,DAL,@,8.5,-118,5.27,-3.23,8.5,7,u,0.42,1,Aaron Holiday,Aaron Holiday,25-058,G,WAS,Away,DAL,W,1.0,20.0,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,,0.7,0.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,7.0,4.9,-2.0,Away,W 120-114,240.0,45.0,78.0,0.577,36.0,54.0,0.667,9.0,24.0,0.375,21.0,26.0,0.808,120.0,42.0,89.0,0.472,28.0,51.0,0.549,14.0,38.0,0.368,16.0,22.0,0.727,114.0
