Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
180,2021-10-31,POR,@,CHO,L 113-125,240,43,97,.443,26,43,.605,17,54,.315,10,11,.909,113,46,89,.517,26,47,.553,20,42,.476,13,21,.619,125
181,2021-10-31,DAL,,SAC,W 105-99,240,40,90,.444,28,53,.528,12,37,.324,13,20,.650,105,38,96,.396,31,60,.517,7,36,.194,16,20,.800,99
182,2021-10-31,SAC,@,DAL,L 99-105,240,38,96,.396,31,60,.517,7,36,.194,16,20,.800,99,40,90,.444,28,53,.528,12,37,.324,13,20,.650,105
183,2021-10-31,HOU,@,LAL,L 85-95,240,32,76,.421,26,48,.542,6,28,.214,15,29,.517,85,39,96,.406,30,65,.462,9,31,.290,8,13,.615,95
184,2021-10-31,LAL,,HOU,W 95-85,240,39,96,.406,30,65,.462,9,31,.290,8,13,.615,95,32,76,.421,26,48,.542,6,28,.214,15,29,.517,85
185,2021-10-31,MIL,,UTA,L 95-107,240,39,96,.406,27,55,.491,12,41,.293,5,6,.833,95,35,75,.467,23,38,.605,12,37,.324,25,27,.926,107
186,2021-10-31,UTA,@,MIL,W 107-95,240,35,75,.467,23,38,.605,12,37,.324,25,27,.926,107,39,96,.406,27,55,.491,12,41,.293,5,6,.833,95
187,2021-11-01,ATL,,WAS,W 118-111,240,38,83,.458,25,49,.510,13,34,.382,29,29,1.000,118,41,86,.477,28,47,.596,13,39,.333,16,16,1.000,111
188,2021-11-01,WAS,@,ATL,L 111-118,240,41,86,.477,28,47,.596,13,39,.333,16,16,1.000,111,38,83,.458,25,49,.510,13,34,.382,29,29,1.000,118
189,2021-11-01,BOS,,CHI,L 114-128,240,42,96,.438,27,63,.429,15,33,.455,15,20,.750,114,49,86,.570,36,55,.655,13,31,.419,17,18,.944,128
190,2021-11-01,CHI,@,BOS,W 128-114,240,49,86,.570,36,55,.655,13,31,.419,17,18,.944,128,42,96,.438,27,63,.429,15,33,.455,15,20,.750,114
191,2021-11-01,CHO,,CLE,L 110-113,240,42,101,.416,27,62,.435,15,39,.385,11,15,.733,110,39,90,.433,30,62,.484,9,28,.321,26,38,.684,113
192,2021-11-01,CLE,@,CHO,W 113-110,240,39,90,.433,30,62,.484,9,28,.321,26,38,.684,113,42,101,.416,27,62,.435,15,39,.385,11,15,.733,110
193,2021-11-01,IND,,SAS,W 131-118,240,52,91,.571,34,53,.642,18,38,.474,9,12,.750,131,47,89,.528,33,61,.541,14,28,.500,10,14,.714,118
194,2021-11-01,SAS,@,IND,L 118-131,240,47,89,.528,33,61,.541,14,28,.500,10,14,.714,118,52,91,.571,34,53,.642,18,38,.474,9,12,.750,131
195,2021-11-01,LAC,,OKC,W 99-94,240,35,92,.380,20,50,.400,15,42,.357,14,19,.737,99,35,90,.389,24,53,.453,11,37,.297,13,16,.813,94
196,2021-11-01,OKC,@,LAC,L 94-99,240,35,90,.389,24,53,.453,11,37,.297,13,16,.813,94,35,92,.380,20,50,.400,15,42,.357,14,19,.737,99
197,2021-11-01,DEN,@,MEM,L 97-106,240,39,88,.443,30,50,.600,9,38,.237,10,15,.667,97,44,97,.454,31,63,.492,13,34,.382,5,7,.714,106
198,2021-11-01,MEM,,DEN,W 106-97,240,44,97,.454,31,63,.492,13,34,.382,5,7,.714,106,39,88,.443,30,50,.600,9,38,.237,10,15,.667,97
199,2021-11-01,MIN,,ORL,L 97-115,240,36,97,.371,22,46,.478,14,51,.275,11,19,.579,97,37,82,.451,20,39,.513,17,43,.395,24,30,.800,115
200,2021-11-01,ORL,@,MIN,W 115-97,240,37,82,.451,20,39,.513,17,43,.395,24,30,.800,115,36,97,.371,22,46,.478,14,51,.275,11,19,.579,97
201,2021-11-01,NYK,,TOR,L 104-113,240,35,76,.461,19,38,.500,16,38,.421,18,24,.750,104,43,99,.434,29,57,.509,14,42,.333,13,14,.929,113
202,2021-11-01,TOR,@,NYK,W 113-104,240,43,99,.434,29,57,.509,14,42,.333,13,14,.929,113,35,76,.461,19,38,.500,16,38,.421,18,24,.750,104
203,2021-11-01,PHI,,POR,W 113-103,240,43,83,.518,30,47,.638,13,36,.361,14,16,.875,113,40,84,.476,28,50,.560,12,34,.353,11,18,.611,103
204,2021-11-01,POR,@,PHI,L 103-113,240,40,84,.476,28,50,.560,12,34,.353,11,18,.611,103,43,83,.518,30,47,.638,13,36,.361,14,16,.875,113
205,2021-11-02,DAL,,MIA,L 110-125,240,37,84,.440,23,42,.548,14,42,.333,22,31,.710,110,43,83,.518,30,58,.517,13,25,.520,26,30,.867,125
206,2021-11-02,MIA,@,DAL,W 125-110,240,43,83,.518,30,58,.517,13,25,.520,26,30,.867,125,37,84,.440,23,42,.548,14,42,.333,22,31,.710,110
207,2021-11-02,DET,,MIL,L 89-117,240,30,93,.323,22,46,.478,8,47,.170,21,30,.700,89,42,84,.500,25,47,.532,17,37,.459,16,21,.762,117
208,2021-11-02,MIL,@,DET,W 117-89,240,42,84,.500,25,47,.532,17,37,.459,16,21,.762,117,30,93,.323,22,46,.478,8,47,.170,21,30,.700,89
209,2021-11-02,HOU,@,LAL,L 117-119,240,48,91,.527,32,49,.653,16,42,.381,5,12,.417,117,49,93,.527,43,68,.632,6,25,.240,15,20,.750,119
210,2021-11-02,LAL,,HOU,W 119-117,240,49,93,.527,43,68,.632,6,25,.240,15,20,.750,119,48,91,.527,32,49,.653,16,42,.381,5,12,.417,117
211,2021-11-02,NOP,@,PHO,L 100-112,240,36,91,.396,23,52,.442,13,39,.333,15,16,.938,100,43,82,.524,34,56,.607,9,26,.346,17,18,.944,112
212,2021-11-02,PHO,,NOP,W 112-100,240,43,82,.524,34,56,.607,9,26,.346,17,18,.944,112,36,91,.396,23,52,.442,13,39,.333,15,16,.938,100
213,2021-11-02,SAC,@,UTA,L 113-119,240,42,93,.452,30,62,.484,12,31,.387,17,24,.708,113,43,98,.439,29,50,.580,14,48,.292,19,27,.704,119
214,2021-11-02,UTA,,SAC,W 119-113,240,43,98,.439,29,50,.580,14,48,.292,19,27,.704,119,42,93,.452,30,62,.484,12,31,.387,17,24,.708,113
215,2021-11-03,ATL,@,BRK,L 108-117,240,41,94,.436,28,59,.475,13,35,.371,13,15,.867,108,43,88,.489,21,40,.525,22,48,.458,9,12,.750,117
216,2021-11-03,BRK,,ATL,W 117-108,240,43,88,.489,21,40,.525,22,48,.458,9,12,.750,117,41,94,.436,28,59,.475,13,35,.371,13,15,.867,108
217,2021-11-03,CLE,,POR,W 107-104,240,39,74,.527,24,44,.545,15,30,.500,14,18,.778,107,40,90,.444,27,53,.509,13,37,.351,11,17,.647,104
218,2021-11-03,POR,@,CLE,L 104-107,240,40,90,.444,27,53,.509,13,37,.351,11,17,.647,104,39,74,.527,24,44,.545,15,30,.500,14,18,.778,107
219,2021-11-03,CHO,@,GSW,L 92-114,240,34,91,.374,24,55,.436,10,36,.278,14,19,.737,92,42,86,.488,24,41,.585,18,45,.400,12,18,.667,114
220,2021-11-03,GSW,,CHO,W 114-92,240,42,86,.488,24,41,.585,18,45,.400,12,18,.667,114,34,91,.374,24,55,.436,10,36,.278,14,19,.737,92
221,2021-11-03,IND,,NYK,W 111-98,240,42,91,.462,26,50,.520,16,41,.390,11,14,.786,111,36,87,.414,31,63,.492,5,24,.208,21,27,.778,98
222,2021-11-03,NYK,@,IND,L 98-111,240,36,87,.414,31,63,.492,5,24,.208,21,27,.778,98,42,91,.462,26,50,.520,16,41,.390,11,14,.786,111
223,2021-11-03,DEN,@,MEM,L 106-108,240,43,91,.473,35,64,.547,8,27,.296,12,13,.923,106,42,81,.519,26,47,.553,16,34,.471,8,14,.571,108
224,2021-11-03,MEM,,DEN,W 108-106,240,42,81,.519,26,47,.553,16,34,.471,8,14,.571,108,43,91,.473,35,64,.547,8,27,.296,12,13,.923,106
225,2021-11-03,LAC,@,MIN,W 126-115,240,47,78,.603,26,42,.619,21,36,.583,11,12,.917,126,43,94,.457,29,54,.537,14,40,.350,15,16,.938,115
226,2021-11-03,MIN,,LAC,L 115-126,240,43,94,.457,29,54,.537,14,40,.350,15,16,.938,115,47,78,.603,26,42,.619,21,36,.583,11,12,.917,126
227,2021-11-03,BOS,@,ORL,W 92-79,240,33,79,.418,23,42,.548,10,37,.270,16,25,.640,92,27,84,.321,18,41,.439,9,43,.209,16,20,.800,79
228,2021-11-03,ORL,,BOS,L 79-92,240,27,84,.321,18,41,.439,9,43,.209,16,20,.800,79,33,79,.418,23,42,.548,10,37,.270,16,25,.640,92
229,2021-11-03,CHI,@,PHI,L 98-103,240,38,82,.463,32,61,.525,6,21,.286,16,18,.889,98,38,77,.494,26,49,.531,12,28,.429,15,21,.714,103
230,2021-11-03,PHI,,CHI,W 103-98,240,38,77,.494,26,49,.531,12,28,.429,15,21,.714,103,38,82,.463,32,61,.525,6,21,.286,16,18,.889,98
