Rk,Player,Age,Pos,Tm,,Opp,,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
280,Christian Wood\woodch01,26-023,F,HOU,@,MIN,L,2021-10-20,1,32,6,15,.400,4,9,.444,2,6,.333,2,4,.500,.477,2,7,9,3,0,1,1,3,16,11.2,-1.7
281,McKinley Wright IV\wrighmc01,22-360,G,MIN,,HOU,W,2021-10-20,0,4,1,1,1.000,0,0,,1,1,1.000,0,0,,1.500,0,0,0,0,0,0,1,0,3,1.7,0.8
282,Cody Zeller\zelleco01,29-015,C-F,POR,,SAC,L,2021-10-20,0,19,2,3,.667,2,3,.667,0,0,,1,2,.500,.644,2,4,6,1,1,1,0,1,5,7.9,2.5
283,Bam Adebayo\adebaba01,24-095,C-F,MIA,,MIL,W,2021-10-21,1,23,9,13,.692,9,13,.692,0,0,,2,5,.400,.658,4,9,13,1,1,0,3,3,20,16.3,4.1
284,Grayson Allen\allengr01,26-013,G,MIL,@,MIA,L,2021-10-21,1,29,5,11,.455,3,3,1.000,2,8,.250,2,2,1.000,.589,0,3,3,1,0,0,1,2,14,8.1,-2.8
285,Giannis Antetokounmpo\antetgi01,26-319,F-G,MIL,@,MIA,L,2021-10-21,1,23,4,11,.364,3,8,.375,1,3,.333,6,10,.600,.487,1,9,10,2,3,0,2,3,15,11.9,4.6
286,Thanasis Antetokounmpo\antetth01,29-095,F,MIL,@,MIA,L,2021-10-21,0,18,2,2,1.000,2,2,1.000,0,0,,2,3,.667,.904,1,3,4,1,0,0,1,4,6,4.7,-3.0
287,Nemanja Bjelica\bjeline01,33-165,F,GSW,,LAC,W,2021-10-21,0,16,3,5,.600,3,5,.600,0,0,,0,0,,.600,1,5,6,0,0,0,1,0,6,4.9,-3.6
288,Eric Bledsoe\bledser01,31-316,G,LAC,@,GSW,L,2021-10-21,1,30,10,16,.625,9,12,.750,1,4,.250,1,3,.333,.635,1,2,3,2,3,1,0,4,22,18.8,10.0
289,Bogdan Bogdanović\bogdabo01,29-064,G,ATL,,DAL,W,2021-10-21,1,26,4,8,.500,1,3,.333,3,5,.600,0,0,,.688,0,3,3,2,2,0,2,3,11,8.1,2.8
290,Sterling Brown\brownst02,26-253,G,DAL,@,ATL,L,2021-10-21,0,11,1,5,.200,0,0,,1,5,.200,0,0,,.300,0,5,5,0,0,0,1,2,3,-0.4,-12.1
291,Jalen Brunson\brunsja01,25-051,G,DAL,@,ATL,L,2021-10-21,0,26,7,13,.538,4,8,.500,3,5,.600,0,0,,.654,0,3,3,3,0,0,0,2,17,12.9,8.4
292,Reggie Bullock\bullore01,30-219,G-F,DAL,@,ATL,L,2021-10-21,0,15,1,4,.250,0,1,.000,1,3,.333,0,0,,.375,0,1,1,0,0,0,1,1,3,-0.5,-9.6
293,Trey Burke\burketr01,28-343,G,DAL,@,ATL,L,2021-10-21,0,9,2,3,.667,1,2,.500,1,1,1.000,0,0,,.833,0,1,1,2,0,0,0,0,5,5.4,11.4
294,Jimmy Butler\butleji01,32-037,F-G,MIA,,MIL,W,2021-10-21,1,29,6,10,.600,6,10,.600,0,0,,9,11,.818,.708,1,3,4,6,1,0,1,3,21,20.2,9.3
295,Clint Capela\capelca01,27-156,C,ATL,,DAL,W,2021-10-21,1,21,6,6,1.000,6,6,1.000,0,0,,0,1,.000,.932,2,11,13,0,0,2,1,2,12,14.1,9.6
296,Willie Cauley-Stein\caulewi01,28-064,F-C,DAL,@,ATL,L,2021-10-21,0,13,1,4,.250,1,4,.250,0,0,,0,0,,.250,1,5,6,0,0,0,0,0,2,1.8,-6.0
297,Amir Coffey\coffeam01,24-126,G,LAC,@,GSW,L,2021-10-21,0,15,0,3,.000,0,1,.000,0,2,.000,5,5,1.000,.481,0,1,1,0,0,0,0,2,5,2.4,-9.3
298,John Collins\collijo01,24-028,F,ATL,,DAL,W,2021-10-21,1,30,7,11,.636,5,8,.625,2,3,.667,0,0,,.727,1,8,9,3,2,2,0,3,16,18.5,12.6
299,Pat Connaughton\connapa01,28-288,G,MIL,@,MIA,L,2021-10-21,1,27,3,6,.500,3,3,1.000,0,3,.000,0,0,,.500,0,4,4,4,0,0,1,3,6,4.8,-4.9
300,Sharife Cooper\coopesh01,20-132,G,ATL,,DAL,W,2021-10-21,0,4,0,3,.000,0,1,.000,0,2,.000,0,0,,.000,0,0,0,1,0,0,0,0,0,-1.4,-32.1
301,Stephen Curry\curryst01,33-221,G,GSW,,LAC,W,2021-10-21,1,38,16,25,.640,8,12,.667,8,13,.615,5,5,1.000,.827,0,10,10,1,1,1,6,2,45,32.5,13.9
302,Dewayne Dedmon\dedmode01,32-070,C,MIA,,MIL,W,2021-10-21,0,15,5,6,.833,4,5,.800,1,1,1.000,2,2,1.000,.945,2,7,9,0,0,0,1,2,13,12.5,11.9
303,Gorgui Dieng\dienggo01,31-276,C,ATL,,DAL,W,2021-10-21,0,14,4,5,.800,3,3,1.000,1,2,.500,0,0,,.900,0,6,6,2,1,2,0,2,9,11.9,21.7
304,Luka Dončić\doncilu01,22-235,G-F,DAL,@,ATL,L,2021-10-21,1,35,6,17,.353,4,10,.400,2,7,.286,4,4,1.000,.480,0,11,11,7,1,0,5,1,18,12.3,1.7
